ft_strategy,dataset,optimizer,best_value,lr,run_id
LoRA,cola,adamuon,0.5174,0.0003,4b7nfsyh
LoRA,cola,adamw,0.4759,5e-05,iwxks9su
LoRA,cola,muon,0.4992,0.0002,byd47ni5
LoRA,cola,rmsspectral,0.5327,0.001,nlvqnx3e
LoRA,cola,rmsspectral_sania,0.4990,0.0003,i7kl2ixl
LoRA,mnli,adamuon,0.7836,0.001,z7acsdpy
LoRA,mnli,adamw,0.7352,0.0002,9psqck5s
LoRA,mnli,muon,0.7237,0.0002,fg9a6v70
LoRA,mnli,rmsspectral,0.7776,0.001,a1w9upbs
LoRA,mnli,rmsspectral_sania,0.7780,0.001,znw4ykf4
LoRA,mrpc,adamuon,0.8480,0.001,fpxumwci
LoRA,mrpc,adamw,0.8309,0.0001,p9keujfk
LoRA,mrpc,muon,0.8578,3e-05,dp194vz7
LoRA,mrpc,rmsspectral,0.8505,0.0003,ae4m02ln
LoRA,mrpc,rmsspectral_sania,0.8480,0.0001,qjhd3gkz
LoRA,qnli,adamuon,0.8739,0.001,uwtwhbk4
LoRA,qnli,adamw,0.8567,0.0002,pvglqkhd
LoRA,qnli,muon,0.8501,0.0002,qat8x1zz
LoRA,qnli,rmsspectral,0.8682,0.001,z06nmiax
LoRA,qnli,rmsspectral_sania,0.8781,0.001,fwu3ncxw
LoRA,qqp,adamuon,0.8584,0.001,yz0po716
LoRA,qqp,adamw,0.8498,0.0002,ux66i5vg
LoRA,qqp,muon,0.8322,0.0002,gcuquvh1
LoRA,qqp,rmsspectral,0.8585,0.001,qdhjxozy
LoRA,qqp,rmsspectral_sania,0.8571,0.001,qez9vuq9
LoRA,rte,adamuon,0.6679,0.001,c85hqz1y
LoRA,rte,adamw,0.6390,0.0001,zyqmv4my
LoRA,rte,muon,0.6606,3e-05,xne5jqhy
LoRA,rte,rmsspectral,0.6534,0.0001,kl4l58bu
LoRA,rte,rmsspectral_sania,0.6209,0.0003,t29o81n2
LoRA,sst2,adamuon,0.9037,0.0003,sin6eidh
LoRA,sst2,adamw,0.8956,5e-05,42sxr048
LoRA,sst2,muon,0.8865,0.0001,ojk5qpwl
LoRA,sst2,rmsspectral,0.8968,0.001,6gdel29s
LoRA,sst2,rmsspectral_sania,0.9060,0.001,r15xs3jh
LoRA,stsb,adamuon,0.8427,0.0003,7q67xmid
LoRA,stsb,adamw,0.8473,0.0001,nbmlsz2d
LoRA,stsb,muon,0.8392,5e-05,65wj4b6q
LoRA,stsb,rmsspectral,0.8344,0.0003,3ls2shjc
LoRA,stsb,rmsspectral_sania,0.8422,0.0003,tvmyhqhe
LoRA,wnli,adamuon,n/a,,
LoRA,wnli,adamw,0.1549,0.0002,i6u3eni4
LoRA,wnli,muon,0.1408,3e-05,usz676dn
LoRA,wnli,rmsspectral,n/a,,
LoRA,wnli,rmsspectral_sania,n/a,,
Full,cola,adamuon,0.4770,0.0003,y28kf6jj
Full,cola,adamw,0.5880,5e-05,mlms7l8a
Full,cola,muon,0.5753,1e-05,eyj8ptfw
Full,cola,rmsspectral,0.4800,0.0003,zhihfmmm
Full,cola,rmsspectral_sania,0.4587,0.0003,5txm0lij
Full,mnli,adamuon,0.8109,0.001,9uxsh67v
Full,mnli,adamw,0.8411,5e-05,yq7zert3
Full,mnli,muon,0.8068,0.0001,dqlmczd0
Full,mnli,rmsspectral,0.8116,0.001,9va1z6z9
Full,mnli,rmsspectral_sania,0.8122,0.001,tdemrqpq
Full,mrpc,adamuon,0.8260,2e-05,8tu5nyso
Full,mrpc,adamw,0.8578,5e-05,w73224gp
Full,mrpc,muon,0.8456,5e-05,frr1xoll
Full,mrpc,rmsspectral,0.7819,2e-05,h3g02gb2
Full,mrpc,rmsspectral_sania,0.8137,2e-05,x38x40gj
Full,qnli,adamuon,0.8757,0.001,ammivuag
Full,qnli,adamw,0.9189,5e-05,5w69qa3t
Full,qnli,muon,0.9055,0.0001,dzj948tb
Full,qnli,rmsspectral,0.8794,0.001,ytknk9ot
Full,qnli,rmsspectral_sania,0.8788,0.001,mt0zgqp0
Full,qqp,adamuon,0.8968,0.001,wovf4ndr
Full,qqp,adamw,0.9063,5e-05,i42jbtu2
Full,qqp,muon,0.8958,0.0002,h10vr5m6
Full,qqp,rmsspectral,0.8985,0.001,5oplujg6
Full,qqp,rmsspectral_sania,0.8978,0.001,mdcko8wq
Full,rte,adamuon,0.5740,0.001,ex4f642q
Full,rte,adamw,0.6823,5e-05,qxy7cvns
Full,rte,muon,0.6895,1e-05,mnnb4apy
Full,rte,rmsspectral,0.6137,2e-05,s7so3pwi
Full,rte,rmsspectral_sania,0.5740,0.0003,illoegwy
Full,sst2,adamuon,0.8968,0.001,1hz8cgdd
Full,sst2,adamw,0.9289,1e-05,6rgwgz7k
Full,sst2,muon,0.9197,0.0001,5fqp432q
Full,sst2,rmsspectral,0.9002,0.0003,njsjo9y2
Full,sst2,rmsspectral_sania,0.9071,0.001,tvaz8ja6
Full,stsb,adamuon,0.8300,0.0003,ap215vjt
Full,stsb,adamw,0.8932,5e-05,wk3otfqr
Full,stsb,muon,0.8903,0.0001,241ef2y7
Full,stsb,rmsspectral,0.8137,0.0003,syzfj8ra
Full,stsb,rmsspectral_sania,0.8142,0.0003,v9qe6dhh
Full,wnli,adamuon,n/a,,
Full,wnli,adamw,0.0986,0.0002,irj3dupi
Full,wnli,muon,0.1408,3e-05,raho3g5b
Full,wnli,rmsspectral,n/a,,
Full,wnli,rmsspectral_sania,n/a,,
